member,organization,program,ein,amount,agency,purpose
Hudson,"African Voices Communications, Inc.",Artistic Programs - Council District 35,133687018,5000,DCLA,Funding for general operating support to provide artistic programs for low-income and fixed income residents in Council District 35.
Louis,"African Voices Communications, Inc.",Reel Sisters of the Diaspora Film Festival & Lecture Series - Council District 45,133687018,5000,DCLA,Funds will support the Reel Sisters of the Diaspora Film Festival & Lecture Series in Council District 45.
Gutierrez,"Afro-Latin Jazz Alliance of New York, Inc.",After-school Programs - Public School 120K (14K120) & Public School 132K Conselyea School (14K132),453665976,5000,DCLA,Funding will support after-school for Public School 120K (14K120) & Public School 132K The Conselyea School (14K132).
Mealy,"Afro-Latin Jazz Alliance of New York, Inc.",Council District 41,453665976,5000,DCLA,Funds will support cultural programming and services in Council District 41.
Vernikov,"Agudath Israel of America Community Services, Inc.",,133975090,5000,DYCD,"Funding to support education, career counseling and job services, family support, social services, legal needs and referrals to unemployed or under employed individuals."
Ariola,"Agudath Israel of America Community Services, Inc.",Council District 32,133975090,5000,DYCD,"Funds will be used for educational programming, job training and career counseling services to unemployed and low income families in Council District 32."
De La Rosa,"AhHa!Broadway, Inc.",Spectacular Older Adults Programming - Council District 10,852492020,5000,DCLA,To support Spectacular Older Adults programming in Council District 10.
Marte,"AIDS Service Center of Lower Manhattan, Inc.",Alliance HIV Prevention Network,133562071,5000,DHMH,Funds will support the Alliance HIV Prevention Network.
Wilson,"AIDS Service Center of Lower Manhattan, Inc.",Food Access Programs,133562071,5000,DHMH,Funding will support the Food and Nutrition Services (FNS) Peer Coaching program.
Maloney,"AIDS Service Center of Lower Manhattan, Inc.",Patients Access to Health - Council District 04,133562071,5000,DHMH,Funding will support program costs of Patients Access to Health in Council District 04. Page 28 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Hankerson,"Aim Innovation, Inc.",Aim Innovation Programming,112207752,5000,DYCD,"Funds will support weekly and monthly dance classes, a performance for the community, and an art exhibit for youth and adults."
Paladino,"AKTINA Productions, Inc.",English Speaking Greek Radio & TV,113220961,5000,DOITT,Funding will support public service and commercial free community programming.
Caban,"AKTINA Productions, Inc.",Greek Television Program - Council District 22,113220961,5000,DOITT,To support television programming that promotes Greek culture in New York City and outreach efforts specific to Council District 22.
Carr,Albanian American Association of Staten Islan Inc.,,931542543,25000,DYCD,"Funds to be used for operating costs, events and programming."
Hankerson,Allen A.M.E. Housing Corp,Council District 28,112600290,5000,DYCD,Funding will go toward programming in Council District 28.
Brooks-Powers,Allen Neighborhood Preservation & Development Corporation,Council District 31,112705085,7500,DFTA,Funding will support in-person and virtual district-based senior services in Council District 31.
Paladino,"Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,5000,DCLA,The funding will be used to cover the various costs associated with implementing APEC's educational programs.
Speaker,"Lee Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,250000,DCLA,The funding will be used to cover the various costs associated with implementing APECs educational programs.
Wilson,"Alliance of Resident Theatres/New York, Inc.",,132768583,5000,DCLA,To provide comprehensive support services producers and artist members.
Hudson,"Alliance of Resident Theatres/New York, Inc.",Removing Financial Burdens for NYC Theatres - Council District 35,132768583,5000,DCLA,"Funding to support the Access A.R.T./New York program, which provides nonprofit theaters with tools to help them reach and serve more physically and developmentally disabled and neuro-diverse individuals."
Epstein,"Allied Productions, Inc.",Le Petit Versailles - Council District 2,133123525,5000,DCLA,"Funds will support 2027 season events, projects, and publicly accessible archives."
Ariola,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Memorial Day Parade,383853340,5000,DVS,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
