Fund,Department,Control Officer,Department ID,Short Title,Link to Website,Department Description,Adopted 2015,Itemized 2015,Adopted 2016,Itemized 2016,Adopted 2017,Itemized 2017,Adopted 2018,Itemized 2018,Adopted 2019,Itemized 2019,Adopted 2020,Itemized 2020,Adopted 2021,Itemized 2021,Adopted 2022,Itemized 2022,Adopted 2023,Itemized 2023,Adopted 2024,Itemized 2024,Adopted 2025,Itemized 2025,Adopted 2026,Itemized 2026,Adopted 2027,Itemized 2027
CHILDREN’S SERVICES,Digital Inclusion and Literacy Initiative,DYCD,38,Digital Inclusion and Literacy Initiative,,"“Digital Inclusion and Literacy Initiative” — a CHILDREN’S SERVICES discretionary initiative administered by DYCD. FY2019 adopted: $3,060,000.",0,0,0,0,2040000,0,0,0,3060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Discretionary Child Care,ACS,39,Discretionary Child Care,,"“Discretionary Child Care” — a CHILDREN’S SERVICES discretionary initiative administered by ACS. FY2015 adopted: $5,023,000.",5023000,5023000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,"Diversity, Inclusion and Equity in Tech Initiative",Multiple agencies,40,"Diversity, Inclusion and Equity in Tech Initiative",,"“Diversity, Inclusion and Equity in Tech Initiative” — a CHILDREN’S SERVICES discretionary initiative administered by Multiple agencies. FY2019 adopted: $700,000.",0,0,0,0,0,0,0,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Early Childhood Literacy Initiative,DYCD,41,Early Childhood Literacy Initiative,,"“Early Childhood Literacy Initiative” — a CHILDREN’S SERVICES discretionary initiative administered by DYCD. FY2015 adopted: $1,500,000.",1500000,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Human Trafficking,MOCJ,42,Human Trafficking,,"“Human Trafficking” — a CHILDREN’S SERVICES discretionary initiative administered by MOCJ. FY2016 adopted: $750,000.",0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Initiative to Address Sexual Assault,MOCJ,43,Initiative to Address Sexual Assault,,"“Initiative to Address Sexual Assault” — a CHILDREN’S SERVICES discretionary initiative administered by MOCJ. FY2016 adopted: $600,000.",0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,LGBT Community Services,DYCD,44,LGBT Community Services,,"“LGBT Community Services” — a CHILDREN’S SERVICES discretionary initiative administered by DYCD. FY2019 adopted: $2,000,000.",0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Priority 5 Vouchers,ACS,45,Priority 5 Vouchers,,"“Priority 5 Vouchers” — a CHILDREN’S SERVICES discretionary initiative administered by ACS. FY2015 adopted: $10,000,000.",10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Social Justice Postgraduate Fellowship Program,DCAS,46,Social Justice Postgraduate Fellowship Program,,"“Social Justice Postgraduate Fellowship Program” — a CHILDREN’S SERVICES discretionary initiative administered by DCAS. FY2017 adopted: $600,000.",0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Technical Assistance for Child Care Providers (CUNY PDI),CUNY,47,Technical Assistance for Child Care Providers (CUNY PDI),,"“Technical Assistance for Child Care Providers (CUNY PDI)” — a CHILDREN’S SERVICES discretionary initiative administered by CUNY. FY2015 adopted: $1,500,000.",1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHILDREN’S SERVICES,Trans Equity Programs,Multiple agencies,48,Trans Equity Programs,,"“Trans Equity Programs” — a CHILDREN’S SERVICES discretionary initiative administered by Multiple agencies. FY2019 adopted: $1,775,000.",0,0,0,0,0,0,0,0,1775000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,AAPI Community Support,Multiple agencies,49,AAPI Community Support,,"“AAPI Community Support” — a COMMUNITY DEVELOPMENT discretionary initiative administered by Multiple agencies. FY2026 adopted: $5,060,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,5060000,0,5060000,0,5060000,0,0,0
COMMUNITY DEVELOPMENT,Adult Literacy Forward (Formerly Adult Literacy Pilot Project),DYCD,50,Adult Literacy Forward (Formerly Adult Literacy Pilot Project),,"“Adult Literacy Forward (Formerly Adult Literacy Pilot Project)” — a COMMUNITY DEVELOPMENT discretionary initiative administered by DYCD. FY2026 adopted: $8,245,148.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8245148,8245148,0,0
COMMUNITY DEVELOPMENT,Adult Literacy Initiative,Multiple agencies,51,Adult Literacy Initiative,,"“Adult Literacy Initiative” — a COMMUNITY DEVELOPMENT discretionary initiative administered by Multiple agencies. FY2026 adopted: $6,254,852.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,667000,4000000,4000000,14000000,0,6254852,0,0,0
COMMUNITY DEVELOPMENT,Adult Literacy Pilot Project,DYCD,52,Adult Literacy Pilot Project,,"“Adult Literacy Pilot Project” — a COMMUNITY DEVELOPMENT discretionary initiative administered by DYCD. FY2025 adopted: $2,500,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2500000,2500000,2500000,2500000,0,0,0,0,0
COMMUNITY DEVELOPMENT,Alternatives to Incarceration (ATIs),MOCJ,53,Alternatives to Incarceration (ATIs),,"“Alternatives to Incarceration (ATIs)” — a COMMUNITY DEVELOPMENT discretionary initiative administered by MOCJ. FY2017 adopted: $5,632,000.",0,0,0,0,5632000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,Alternatives to Incarceration (ATI’s),MOCJ,54,Alternatives to Incarceration (ATI’s),,"“Alternatives to Incarceration (ATI’s)” — a COMMUNITY DEVELOPMENT discretionary initiative administered by MOCJ. FY2019 adopted: $8,107,000.",0,0,0,0,0,0,0,0,8107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,Bail Fund,MOCJ,55,Bail Fund,,"“Bail Fund” — a COMMUNITY DEVELOPMENT discretionary initiative administered by MOCJ. FY2019 adopted: $1,555,000.",0,0,0,0,1400000,0,0,0,1555000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,Center for Court Innovation,MOCJ,56,Center for Court Innovation,,"“Center for Court Innovation” — a COMMUNITY DEVELOPMENT discretionary initiative administered by MOCJ. FY2019 adopted: $1,710,000.",0,0,0,0,500000,0,0,0,1710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,Communities of Color Nonprofit Stabilization Fund,DYCD,57,Communities of Color Nonprofit Stabilization Fund,,"“Communities of Color Nonprofit Stabilization Fund” — a COMMUNITY DEVELOPMENT discretionary initiative administered by DYCD. FY2026 adopted: $3,700,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,0,0
COMMUNITY DEVELOPMENT,Community Development Initiatives,DYCD,58,Community Development Initiatives,,"“Community Development Initiatives” — a COMMUNITY DEVELOPMENT discretionary initiative administered by DYCD. FY2023 adopted: $7,500,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,Community Interpreter Bank,DYCD,59,Community Interpreter Bank,,"“Community Interpreter Bank” — a COMMUNITY DEVELOPMENT discretionary initiative administered by DYCD. FY2026 adopted: $1,400,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,1400000,1400000,0,0
COMMUNITY DEVELOPMENT,Digital Inclusion and Literacy Initiative,Multiple agencies,60,Digital Inclusion and Literacy Initiative,,"“Digital Inclusion and Literacy Initiative” — a COMMUNITY DEVELOPMENT discretionary initiative administered by Multiple agencies. FY2026 adopted: $4,590,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4590000,0,4590000,3990000,4590000,4100000,4590000,4120000,0,0
COMMUNITY DEVELOPMENT,"Diversity, Inclusion and Equity in Tech Initiative",DYCD,61,"Diversity, Inclusion and Equity in Tech Initiative",,"“Diversity, Inclusion and Equity in Tech Initiative” — a COMMUNITY DEVELOPMENT discretionary initiative administered by DYCD. FY2026 adopted: $700,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700000,0,700000,0,700000,0,700000,0,0,0
COMMUNITY DEVELOPMENT,Initiative to Combat Sexual Assault,MOCJ,62,Initiative to Combat Sexual Assault,,"“Initiative to Combat Sexual Assault” — a COMMUNITY DEVELOPMENT discretionary initiative administered by MOCJ. FY2019 adopted: $2,810,000.",0,0,0,0,1348000,0,0,0,2810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,LGBT Community Services,Multiple agencies,63,LGBT Community Services,,"“LGBT Community Services” — a COMMUNITY DEVELOPMENT discretionary initiative administered by Multiple agencies. FY2023 adopted: $5,225,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5225000,5175000,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,LGBTQIA+ Community Services,Multiple agencies,64,LGBTQIA+ Community Services,,"“LGBTQIA+ Community Services” — a COMMUNITY DEVELOPMENT discretionary initiative administered by Multiple agencies. FY2026 adopted: $5,200,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4405625,4405625,5200000,5200000,5200000,5175000,0,0
COMMUNITY DEVELOPMENT,Language Services Worker Co-operatives,DYCD,65,Language Services Worker Co-operatives,,"“Language Services Worker Co-operatives” — a COMMUNITY DEVELOPMENT discretionary initiative administered by DYCD. FY2026 adopted: $2,400,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000,0,2400000,2400000,0,0
COMMUNITY DEVELOPMENT,Support for Victims of Human Trafficking,MOCJ,66,Support for Victims of Human Trafficking,,"“Support for Victims of Human Trafficking” — a COMMUNITY DEVELOPMENT discretionary initiative administered by MOCJ. FY2019 adopted: $1,200,000.",0,0,0,0,750000,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMUNITY DEVELOPMENT,Trans Equity Programs,Multiple agencies,67,Trans Equity Programs,,"“Trans Equity Programs” — a COMMUNITY DEVELOPMENT discretionary initiative administered by Multiple agencies. FY2026 adopted: $6,450,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275000,3200000,3225000,3150000,3225000,3225000,6450000,3225000,0,0
COMMUNITY SAFETY AND VICTIM SERVICES,Multiple Community Safety and Victim Services Initiative,Unspecified agency,68,Multiple Community Safety and Victim Services Initiative,,"“Multiple Community Safety and Victim Services Initiative” — a COMMUNITY SAFETY AND VICTIM SERVICES discretionary initiative administered by Unspecified agency. FY2026 adopted: $5,100,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5100000,0,5100000,0,5100000,0,5100000,0,0,0
CRIMINAL JUSTICE SERVICES,- RC Staten Island Drug Treatment Court,DA,69,- RC Staten Island Drug Treatment Court,,"“- RC Staten Island Drug Treatment Court” — a CRIMINAL JUSTICE SERVICES discretionary initiative administered by DA. FY2015 adopted: $250,000.",250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIMINAL JUSTICE SERVICES,Adolescent Portable Therapy Program,DOP,70,Adolescent Portable Therapy Program,,"“Adolescent Portable Therapy Program” — a CRIMINAL JUSTICE SERVICES discretionary initiative administered by DOP. FY2015 adopted: $250,000.",250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI),MOCJ,71,Alternatives to Incarceration (ATI),,"“Alternatives to Incarceration (ATI)” — a CRIMINAL JUSTICE SERVICES discretionary initiative administered by MOCJ. FY2025 adopted: $14,487,000.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14487000,0,14487000,0,14487000,0,0,0,0,0
CRIMINAL JUSTICE SERVICES,Alternatives to Incarceration (ATI) Programs,MOCJ,72,Alternatives to Incarceration (ATI) Programs,,"“Alternatives to Incarceration (ATI) Programs” — a CRIMINAL JUSTICE SERVICES discretionary initiative administered by MOCJ. FY2015 adopted: $4,100,000.",4100000,4100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
