item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
49,Health and Hospitals Corporation,819,001,1,"June 30, 2024; September 30, 2023",,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall submit to the Council quarterly reports identifying H+H's actual fulltime headcount, disaggregated by job title grouping. Reports must also include variance reports against the end of June of the previous fiscal year. These quarterly reports shall be submitted no later than thirty days after the end of the previous quarter, with the first quarter ending September 30, 2023 , and the last quarter ending June 30, 2024 ."
50,Health and Hospitals Corporation,819,001,1,"August 1, 2024",,"As a condition of the funds in unit of appropriation number 001, the Health and Hospitals Corporation (“H+H”) shall report on its website a list of H+H pediatric emergency rooms including locations and available services. Such report shall be on the H+H website by August 1, 2024 ."
51,Health and Hospitals Corporation,819,001; 103; 113,3,"January 31, 2024; July 15, 2024; June 30, 2024",,"As a condition of the funds in unit of appropriation number 001 in the Health and Hospitals Corporation’s (“H+H”) budget and unit of appropriation numbers 103 and 113 in the Department of Health and Mental Hygiene’s (“DOHMH”) budget, H+H and DOHMH shall submit to the Council, no later than June 30, 2024 , a report on City Health Department programs providing resources related to doulas and midwives, disaggregated by borough and aggregated citywide. Mayoralty Unit of Appropriation [ 020 ] As a condition of the funds in unit of appropriation 020, the Mayor’s Office of Community Mental Health shall submit to Council, semi -annual reports providing a breakdown of 911 mental health calls involving persons experiencing mental health crises and include how many of such calls were received, how many were responded to by NYPD, FDNY and/or B-HEARD team, and how many people assisted by B -HEARD were: (1) served onsite, or (2) transported to a community -based healthcare. Such reports shall be submitted on January 31, 2024 and July 15, 2024."
52,Human Resources Administration,069,103; 107; 201; 203; 207,5,"March 15, 2024; September 15, 2023",,"As a condition of the funds in unit of appropriation numbers 103, 107, 201, 203 and 207, the Office of Civil Justice ( “OCJ”) and Human Resources Administration (“HRA”) shall submit to the Council a report that reflects OCJ's funding in its entirety including the total budget of OCJ and its relevant budget codes, the total budget broken out by program area and the budget code for each, and the total headcount for OCJ and the respective budget codes. Such report shall be submitted within ten days of the release of each financial plan. Office of Criminal Justice ( 128) Unit of Appropriation [ 003] Unit of Appropriation [ 004] As a condition of the funds in unit of appropriation numbers 003 and004 , the Criminal Justice Coordinator (“CJC”) shall submit to the Council semi-annual reports detailing the total budget and headcount with the total number of staff assoc iated with the Office of Special Enforcement (“OSE”), disaggregated by title and agency. In addition, the reports shall include the other than personal services budget for the OSE. The first report shall be submitted no later than September 15, 2023 , and the second report shall be submitted no later than March 15, 2024 ."
53,Mayoralty,002,091,1,"August 1, 2024; December 31, 2023; December 31, 2024; February 1, 2024; February 1, 2025; January 1, 2024; July 1, 2023; July 1, 2024; June 30, 2024","July 1, 2023 to December 31","As a condition of the funds in the unit of appropriation 091, the Mayor’s Office of Contract Services (“MOCS”) shall submit bi-annual reports of the agencies entering into, renewing or extending a services contract entered into pursuant to an emergency declaration. Such reports shall include, for each agency, the number and value of all emergency contracts entered into, renewed, or extended, and the names of vendors selected pursuant to these contracts. This bi-annual report shall be submitted every six months, with the first report due on February 1, 2024 for the period beginning July 1, 2023 and ending December 31, 2023. Subsequent reports will be due on August 1, 2024 for the period beginning January 1, 2024 and ending June 30, 2024; and February 1, 2025 for the period beginning on July 1, 2024 and ending on December 31, 2024."
54,New York Police Department,056,001; 100,2,,,"As a condition of the funds in unit of appropriation numbers 001 and 100, the New York Police Department (“NYPD”) shall consult with the Department of Education (“DOE”) and Department of Transportation (“DOT”) and submit two reports regarding school crossing gu ard intersection locations. The first report shall be submitted no later than September 30, 202 3 and shall be based on deployments as of the second week of September 202 2 . The second report shall be submitted no later than January 30, 202 4 and shall be based on deployments as of the second week of January 202 4 . The reports shall include: 1) the criteria utilized to determine school crossing guard intersections and crossing guard allocations; 2) each location; 3) detail any changes to the school crossing guard training manual and patrol guide sections related to crossing guard deployment; and 4) detail, for both crossing guards and crossing guard supervisors, i) the budgeted headcount, ii) actual headcount, and iii) vacanci es, disaggregated by patrol borough and precinct and provided in a machine-readable format."
55,New York Police Department,056,001; 002; 003; 004; 006; 007; 008; 009,8,"October 15, 2023",,"As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004,006, 007, 008, and 009, the New York Police Department (“NYPD”) shall submit to the Council, no later than October 15, 2023 , a report detailing the demographics of uniformed personnel, including gender, race, and ethnicity. Such information shall be disaggregated by rank, gender, race, and ethnicity."
56,New York Police Department,056,001; 002; 003; 004; 006; 007; 008; 009,8,"April 1, 2024; December 15, 2023; December 31, 2023; January 1, 2024; June 15, 2024; March 15, 2024; March 31, 2024; November 15, 2023; October 1, 2023; September 15, 2023; September 30, 2023","July 1, 202 3 to September 30","As a condition of the funds in unit of appropriation numbers 001, 002, 003, 004, 006, 007, 008, and 009, the New York Police Department (“NYPD”) shall submit quarterly reports to the Council regarding uniformed overtime. Such report shall include the following information: 1) the total overall uniformed overtime spending by precinct; and 2) the total overall uniformed hours by precinct; 3) uniformed overtime spending by category by Patrol Borough. Such quarterly reports shall be submitted as follows: (i) for the period beginning July 1, 202 3 and ending September 30, 2023 , the report shall be submitted by December 15, 2023 ; (ii) for the period beginning October 1, 2023 and ending December 31, 2023 , the report shall be submitted by March 15, 2024 ; (iii) for the period beginning January 1, 2024 and ending March 31, 2024 , the report shall be submitted by June 15, 2024 ; and (iv) for the period beginning April 1, 2024 and ending June 30, 202 4 , the report shall be submitted by September 15, 2023. In addition, an annual agency overtime control plan outlining potential initiatives that the Department will implement during the current fiscal year to monitor and control overtime use . The report shall be submitted by November 15, 2023."
57,Department of Homeless Services,071,100; 200,2,,,Unit of appropriation [101] Unit of Appropriation [201]
58,Health and Hospitals Corporation,819,001; 001; 002; 112; 490; 002,6,,,Office of Technological Innovation/Department of Information Telecommunication
59,Services,858,002; 014; 001; 100; 002; 200; 204; 311; 312,9,,,"As a condition of the funds in units of appropriation 100 and 200 for the Department of Homeless Services (""DHS""), 101 and 201 for the Human Resources Administration (""HRA"")/Department of Social Services (""DSS""), 001 for Health + Hospitals (""H+H""), 001 and 002 for New York City Emergency Management (""NYCEM""), 112 for the Department of Health and Mental Hygiene (""DOHMH""), 490 for the Department of Citywide Administrative Services (""DCAS""), 002 for the Department of Design and Construction (""DDC""), 002 for the Office of Technology and Innovation (""OTI""), 014 for the Department of Housing Preservation and Development (""HPD""), 001, 100, 002, 200 for the New York City Police Department (""NYPD""), and 204, 311, 312 for the Department of Youth and Community Development (""DYCD""), the Administration shall submit a single monthly report with information included for each agency where asylum seeker response funding has been budgeted , to the Council by the 10th calendar day of the succeeding month, including the following information: (i) budgeted and estimated expenditures related to the asylum seeker response, broken down by agency and expense type (including, but not limited to, food, rent, social services, security services, funding allocated to agency staff and staff overtime), (ii) the aggregate per diem rate and a list of the expenses included in the per diem; (iii) for each agency providing temporary housing to asylum seekers, a breakdown of the number of households and individuals currently served, by population type (single adults, adult families, families with children); (iv) for each agency providing temporary housing to asylum seekers, the number of sites operating broken out by population type served (single adults, adult families, families with children) and facility type (including but not limited to, hotels, shelters, humanitarian emergency response and relief centers); (v) the number of clients who exited care in each week of the past month.;"
