member,organization,program,ein,amount,purpose
Salamanca,Department for the Aging,,136400434,25000,Fund will be used to provide community based programs and services.
Osse,"Digital Girl, Inc.",,472288307,45000,"Funding for programming and services under the Age Friendly Central Brooklyn (AFCB) program, including the Mother's Day Brunch, Senior Pampering Day and a potential Senior Swim."
Joseph,"Dorchester Senior Citizens Center, Inc.",NYC Aging Older Adult Center - Council District 40,112305581,20000,"Funds will be used to support the nutrition lunch program, educational, recreational, arts, cultural and technology programming as well as senior supportive services."
Powers,"DOROT, Inc.",,133264005,5000,Funding will support DOROT's Homelessness Prevention Program which responds to the needs of underserved homeless New York City seniors in Council District 4.
Abreu,"DOROT, Inc.",Council District 7,133264005,10000,Funding to support programming to alleviate isolation of vulnerable older adults in Council District 7.
Brewer,"DOROT, Inc.",Programs to Alleviate Social Isolation for Seniors,133264005,5000,Funds will be used to provide programming and services to alleviate isolation of vulnerable older adults in Council District 6.
Caban,"East River Development Alliance, Inc.",Senior Services - Astoria Houses,861096987,20000,"Funds will be used to provide assistance to local seniors at NYCHA Astoria Houses in the form of workforce development workshops, assistance in navigating public benefits, financial counseling, and free tax preparation assistance. Appendix A: Aging Discretionary Page 8 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Ayala,"East Side House, Inc.",Borinquen Court Mitchel Older Adult Center,131623989,5000,To provide funding for enrichment programming and services including trips and extra curricular activities.
Ayala,"East Side House, Inc.",Patterson Senior Center,131623989,10000,To provide funding for enrichment programming and services including trips and extra curricular activities.
Rivera,"Educational Alliance, Inc., The",Sirovich Center,135562210,15000,Funds will support Sirovich Senior Center's programs and operations.
Marte,"Educational Alliance, Inc., The",Weinberg Center for Balanced Living,135562210,10000,Funding will support Weinberg Center for Balanced Living.
Borelli,Eger Health Care and Rehabilitation Center,,133524533,17500,Funds will support Better Life More Living programming and services.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 1,112224539,27500,To support the senior center Golden Phoenix Club 1.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 2,112224539,27500,To support the senior center Golden Phoenix Club 2.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 3,112224539,27500,To support the senior center Golden Phoenix Club 3.
Moya,"Elmcor Youth and Adult Activities, Inc.",Golden Phoenix 4,112224539,27500,To support the senior center Golden Phoenix Club 4.
Holden,Emerald Isle Immigration Center,Irish immigrant & Senior Services,112932528,5000,Funds to provide senior programs and services for Council District 30 Irish Immigrants.
Won,Emerald Isle Immigration Center,Senior Services,112932528,15000,"Funding to support the Extended Services program including immigration legal support, mental health screening, insurance enrollment assistance, benefits screenings, and case management/counseling."
Dinowitz,Emerald Isle Immigration Center,Senior Services - Woodlawn,112932528,10000,Funding to provide older adult services for the aging diaspora of Irish immigrants in Woodlawn.
Bottcher,Encore Community Services,,133104293,8500,To support meals for seniors.
Brewer,Encore Community Services,Older Adult Home Delivered Meal Program,133104293,5000,"Funds will support the provision, preparation, and delivery of meals to older adults."
Kagan,"Federation of Italian American Organizations of Brooklyn, Ltd.",Community Center Program Services for Older Adults,112507910,10000,Funds will be used to provide programs for older adults in Council District 47.
Aviles,"Federation of Italian American Organizations of Brooklyn, Ltd.",Naturally Occurring Retirement Communities (NORC),112507910,5000,"Funds will support Naturally Occurring Retirement Communities (NORC) and provide social, educational, and emotional supports programming and services."
Joseph,"Fenimore Senior Center, Inc.",Council District 40,112772287,20000,"Funds will support arts & crafts, wellness seminars, and senior center expenses."
Bottcher,"Find Aid for the Aged, Inc.",Coffeehouse Center,132666921,9000,"Funds will support jewelry making classes, walking tours, and essential printing and activity supplies for jewelry making classes at the Coffeehouse Center."
Brewer,"Find Aid for the Aged, Inc.",Hamilton Adult Center - Project FIND Older Adult Classes,132666921,5000,Funds will support Project FIND Older Adult Classes and Activities at Hamilton Older Adult Center.
Vernikov,"Flatbush Shomrim Safety Patrol, Inc.",,203244567,10000,Funding to support assistance services for various emergencies associated with seniors. Appendix A: Aging Discretionary Page 9 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Louis,"Flatbush Shomrim Safety Patrol, Inc.",Council District 45,203244567,5000,"Funds will support FSSP programs in Council District 45 for elderly constituents. Activities include elderly assistance, biased crime, anti-terrorism awareness, medical awareness programs, 24X6 patrol to assist all emergencies for elderly."
Osse,"Fort Greene Council, Inc.",Albany Older Adult Club,112300840,5000,Funding for Albany Older Adult Club programming.
Barron,"Fort Greene Council, Inc.",Boulevard Houses Senior Center,112300840,15000,Funding for programming at the Senior Center at NYCHA Boulevard Houses.
Mealy,"Fort Greene Council, Inc.",Christopher Blenman Older Adult Club (OAC),112300840,27000,"Funds will be used to enhance senior programming, health and wellness, educational, and recreational activities."
Louis,"Fort Greene Council, Inc.",Clarendon Road Church Senior Programing - Council District 45,112300840,20000,Funds will be used to support Senior Programming for seniors at Clarendon Road Church.
Osse,"Fort Greene Council, Inc.",Grant Square Older Adult Club (OAC),112300840,5000,Funds will support Grant Square Older Adult Club (OAC) programming and services.
Mealy,"Fort Greene Council, Inc.",Hugh Gilroy Older Adult Club (OAC),112300840,10000,"Funds will be used to enhance senior programming; health and wellness, educational, and recreational activities."
Mealy,"Fort Greene Council, Inc.",Marcus Garvey Older Adult Club,112300840,10000,"Funds will be used to enhance virtual and in-person senior programming; health and wellness, educational, and recreational activities, office supplies, educational trips to Museums, NYC trips."
Osse,"Fort Greene Council, Inc.",Maria Lawton Older Adult Club (OAC),112300840,5000,Funds will support Maria Lawton Older Adult Club (OAC) programming and services.
Barron,"Fort Greene Council, Inc.",Rosetta Gaston Senior Center,112300840,16000,Funding for programming at the Rosetta Gaston Senior Center.
Hudson,"Fort Greene Council, Inc.",Senior Programming - Grace Agard,112300840,10000,Funding to support senior programming and other general operating expenses.
Hudson,"Fort Greene Council, Inc.",Senior Programming - Willoughby,112300840,10000,Funding to support senior programming and other general operating expenses.
Mealy,"Fort Greene Council, Inc.",Seth Low Senior Club,112300840,5000,"Funds will be used to enhance virtual and in-person programming; health and wellness, educational, and recreational activities, older adults educational trips, including one Spirit of NY educational trip."
