resolution,page,row,column,raw_text,confidence,flag,crop
1,13,3,amount,"$257,211.75",0.983,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p013-row03-amount.png
1,13,4,amount,"$257,211.75",0.998,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p013-row04-amount.png
1,14,0,organization,Center for Alternative Sentencing and Employment Services (CASES),0.674,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row00-organization.png
1,14,1,organization,Center for Community Alternatives' Crossroads Program,0.515,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row01-organization.png
1,14,2,organization,Center for Employment Opportunities (CEO),0.58,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row02-organization.png
1,14,3,ein,23-7175609,0.594,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row03-ein.png
1,14,4,organization,EAC Treatment Alternatives for Safer Communities (TASC),0.662,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row04-organization.png
1,14,4,ein,23-7175609,0.285,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row04-ein.png
1,14,4,amount,"$1,338,472.00",0.539,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row04-amount.png
1,14,7,organization,Osborne Association,0.689,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row07-organization.png
1,14,7,ein,13-5563028,0.428,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p014-row07-ein.png
1,15,0,agency,MISC,0.78,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p015-row00-agency.png
1,15,0,agy_num,098,0.524,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p015-row00-agy_num.png
1,15,1,organization,Kingsbridge Heights Community Center (Bronx),0.738,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p015-row01-organization.png
1,15,2,organization,St. Luke's-Roosevelt Crime Victims Treatment Center (Manhattan),0.573,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p015-row02-organization.png
1,15,2,ein,13-2997301,0.755,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p015-row02-ein.png
1,15,3,organization,Mt. Sinai Sexual Assault & Violence Intervention Program (Queens),0.656,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p015-row03-organization.png
1,16,0,organization,Church Avenue Merchants Block Association (CAMBA),0.573,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p016-row00-organization.png
1,16,2,ein,13-2972415,0.469,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p016-row02-ein.png
1,17,0,amount,"$246,972.29",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row00-amount.png
1,17,0,organization,Bronx Jewish Community Council Extended Svcs.,0.531,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p017-row00-organization.png
1,17,1,amount,"$154,633.85",0.997,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row01-amount.png
1,17,1,ein,13-2755323,0.572,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p017-row01-ein.png
1,17,2,amount,"$140,036.59",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row02-amount.png
1,17,3,amount,"$144,117.98",0.68,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row03-amount.png
1,17,3,amount,"$144,117.98",0.68,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p017-row03-amount.png
1,17,4,amount,"$137,378.50",0.86,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row04-amount.png
1,17,5,amount,"$212,729.88",0.95,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row05-amount.png
1,17,6,amount,"$83,527.64",0.996,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row06-amount.png
1,17,7,amount,"$380,603.27",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p017-row07-amount.png
1,18,0,organization,Bronx Jewish Community Council (Pelham Parkway),0.578,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p018-row00-organization.png
1,18,0,ein,13-2744533,0.507,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p018-row00-ein.png
1,18,1,ein,13-3254484,0.545,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p018-row01-ein.png
1,18,2,organization,Morrison Lafayette/Boynton Lafayette,0.537,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p018-row02-organization.png
1,18,3,organization,South Brooklyn Youth Consortium,0.577,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p018-row03-organization.png
1,18,4,organization,Spring Creek Senior Partners,0.785,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p018-row04-organization.png
1,18,6,organization,SAGE,0.779,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p018-row06-organization.png
1,19,2,ein,54-2177390,0.541,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p019-row02-ein.png
1,19,5,organization,SCO Family of Services (apartment),0.754,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p019-row05-organization.png
1,19,6,organization,Girls Educational and Mentoring Services (GEMS),0.637,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p019-row06-organization.png
1,20,0,ein,13-3187792,0.793,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p020-row00-ein.png
1,20,2,ein,11-2480339,0.549,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p020-row02-ein.png
1,20,4,organization,Rockaway Development and Revitalization Corp.,0.514,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p020-row04-organization.png
1,21,0,amount,"$82,424. 45",0.804,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row00-amount.png
1,21,0,agency,DOHMHI,0.785,ocr:agency,data/fy09/transparency-resolutions/review-crops/r01-p021-row00-agency.png
1,21,0,ein,13-4009817,0.534,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row00-ein.png
1,21,0,agency,DOHMHI,0.785,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row00-agency.png
1,21,1,amount,"$82,424. 45",0.714,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row01-amount.png
1,21,1,organization,New York Harm Reduction Educators,0.797,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row01-organization.png
1,21,1,ein,13-3678499,0.488,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row01-ein.png
1,21,1,amount,"$82,424. 45",0.714,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row01-amount.png
1,21,2,amount,"$82,424. 45",0.801,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row02-amount.png
1,21,3,amount,"$100,676. 85",0.994,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row03-amount.png
1,21,4,amount,"$80,716.41",0.993,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row04-amount.png
1,21,4,ein,13-3387630,0.502,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row04-ein.png
1,21,5,amount,"$20,000.43",0.99,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row05-amount.png
1,21,6,amount,"$51,675.78",0.991,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row06-amount.png
1,21,7,amount,"$116,717.19",0.986,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row07-amount.png
1,21,7,organization,NYC AIDS Housing Network / VOCAL,0.75,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row07-organization.png
1,21,8,amount,"$58,275.93",0.997,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row08-amount.png
1,21,9,amount,"$80,716.41",0.992,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row09-amount.png
1,21,10,amount,"$80,716.41",0.982,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row10-amount.png
1,21,11,amount,"$58,275.93",0.969,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row11-amount.png
1,21,11,organization,Praxis Housing Initiatives,0.754,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row11-organization.png
1,21,11,agency,DOHMH,0.598,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row11-agency.png
1,21,12,amount,"$100,676.85",0.999,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row12-amount.png
1,21,12,agency,DOHMH,0.728,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row12-agency.png
1,21,13,amount,"$80,716.41",0.996,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row13-amount.png
1,21,13,agency,DOHMH,0.574,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row13-agency.png
1,21,14,amount,"$20,000.43",0.997,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row14-amount.png
1,21,14,organization,Queens Hospital Center,0.517,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row14-organization.png
1,21,15,amount,"$80,716.41",0.995,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row15-amount.png
1,21,15,organization,AIDS Center of Queens County,0.545,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row15-organization.png
1,21,16,amount,"$80,716.41",0.977,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row16-amount.png
1,21,16,organization,Community Health Action of Staten Island,0.532,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row16-organization.png
1,21,17,amount,"$137,477.64",0.877,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row17-amount.png
1,21,17,organization,Harm Reduction Coalition,0.595,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row17-organization.png
1,21,18,amount,"$104,651.16",0.998,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p021-row18-amount.png
1,21,18,organization,Public Health Solutions Admin 7. 5%,0.505,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row18-organization.png
1,21,18,agency,DOHMH,0.641,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p021-row18-agency.png
1,22,1,amount,"$115,000.00",0.566,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p022-row01-amount.png
1,22,2,organization,"Charles B. Wang Community Health Center, Inc.",0.622,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p022-row02-organization.png
1,23,0,agency,DOHMH,0.787,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p023-row00-agency.png
1,23,1,organization,Southeast Queens Clergy for Community Empowerment,0.549,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p023-row01-organization.png
1,23,1,agency,DOHMH,0.648,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p023-row01-agency.png
1,23,2,organization,Hope Garden Multi-Service Center AKA Ridgewood,0.541,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p023-row02-organization.png
1,23,2,star,*,0.754,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p023-row02-star.png
1,23,3,organization,DOHMH RFP,0.606,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p023-row03-organization.png
1,23,3,amount,"$389,000.00",0.523,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p023-row03-amount.png
1,24,0,amount,"$119,591.65",0.999,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row00-amount.png
1,24,0,agency,DOHMH,0.677,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p024-row00-agency.png
1,24,1,amount,"$160,961.15",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row01-amount.png
1,24,2,amount,"$162,913.66",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row02-amount.png
1,24,3,amount,"$160,961.15",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row03-amount.png
1,24,3,ein,13-4156022,0.69,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p024-row03-ein.png
1,24,4,amount,"$170,725.66",0.997,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row04-amount.png
1,24,5,amount,"$160,961.15",0.999,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row05-amount.png
1,24,6,amount,"$26,101.13",0.894,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row06-amount.png
1,24,6,agency,DOHMH,0.653,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p024-row06-agency.png
1,24,7,amount,"$26,101.13",0.977,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row07-amount.png
1,24,8,amount,"$29,358.57",0.762,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row08-amount.png
1,24,8,amount,"$29,358.57",0.762,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p024-row08-amount.png
1,24,9,amount,"$26,101.13",0.965,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row09-amount.png
1,24,9,agency,DOHMH,0.745,ocr:lowconf,data/fy09/transparency-resolutions/review-crops/r01-p024-row09-agency.png
1,24,10,amount,"$29,358.57",0.969,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row10-amount.png
1,24,11,amount,"$19,586.25",1.0,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row11-amount.png
1,24,12,amount,"$26,101.13",0.986,ocr:amt,data/fy09/transparency-resolutions/review-crops/r01-p024-row12-amount.png
